SiteCode,PlotName,Year,CoverType,CoverCode,med_elev,num_counts,samp_counts,pct_freq
BASHAR,T1,2018,Rock,ROCK,4.340922107,19,153,12.41830065
BASHAR,T1,2018,Crustose non-coralline,NONCOR,3.389421828,14,153,9.150326797
BASHAR,T1,2018,Water,WATER,4.404461151,4,153,2.614379085
BASHAR,T1,2018,Bolt,BOLT,4.107183332,2,153,1.307189542
BASHAR,T1,2018,Other Algae - Green,ALGGRE,3.823654328,7,153,4.575163399
BASHAR,T1,2018,Barnacle,BARSPP,2.519212976,6,153,3.921568627
BASHAR,T1,2018,Rockweed,FUCSPP,1.742773479,77,153,50.32679739
BASHAR,T1,2018,Sea Lettuce,ULVLAC,1.753139684,3,153,1.960784314
BASHAR,T1,2018,Fucus epibiont,FUCEPI,1.363927744,13,153,8.496732026
BASHAR,T1,2018,Irish Moss/False Irish Moss,CHOMAS,0.85971566,8,153,5.22875817
BASHAR,T2,2018,Crustose non-coralline,NONCOR,4.480160526,9,151,5.960264901
BASHAR,T2,2018,Rock,ROCK,4.344087139,20,151,13.24503311
BASHAR,T2,2018,Other Algae - Green,ALGGRE,3.446184701,6,151,3.973509934
BASHAR,T2,2018,Water,WATER,0.991599577,5,151,3.311258278
BASHAR,T2,2018,Barnacle,BARSPP,2.928545095,8,151,5.298013245
BASHAR,T2,2018,Bolt,BOLT,2.63792704,2,151,1.324503311
BASHAR,T2,2018,Rockweed,FUCSPP,1.87892841,80,151,52.98013245
BASHAR,T2,2018,Irish Moss/False Irish Moss,CHOMAS,1.004708234,7,151,4.635761589
BASHAR,T2,2018,Fucus epibiont,FUCEPI,1.479754058,10,151,6.622516556
BASHAR,T2,2018,Sea Lettuce,ULVLAC,1.670088505,3,151,1.986754967
BASHAR,T2,2018,Articulated corallines,ARTCOR,1.01655805,1,151,0.662251656
BASHAR,T3,2018,Rock,ROCK,4.380814004,13,157,8.280254777
BASHAR,T3,2018,Crustose non-coralline,NONCOR,4.331984832,17,157,10.82802548
BASHAR,T3,2018,Water,WATER,3.749101927,4,157,2.547770701
BASHAR,T3,2018,Other Algae - Green,ALGGRE,3.51275222,11,157,7.006369427
BASHAR,T3,2018,Barnacle,BARSPP,2.861909638,26,157,16.56050955
BASHAR,T3,2018,Rockweed,FUCSPP,1.632042821,74,157,47.13375796
BASHAR,T3,2018,Fucus epibiont,FUCEPI,1.627279361,7,157,4.458598726
BASHAR,T3,2018,Bolt,BOLT,1.158831933,2,157,1.27388535
BASHAR,T3,2018,Irish Moss/False Irish Moss,CHOMAS,1.136346611,2,157,1.27388535
BASHAR,T3,2018,Articulated corallines,ARTCOR,1.031100797,1,157,0.636942675
BASHAR,T1,2022,Crustose non-coralline,NONCOR,4.119432567,31,149,20.80536913
BASHAR,T1,2022,Water,WATER,4.43624938,3,149,2.013422819
BASHAR,T1,2022,Rock,ROCK,3.892079251,11,149,7.382550336
BASHAR,T1,2022,Barnacle,BARSPP,2.404763581,7,149,4.697986577
BASHAR,T1,2022,Rockweed,FUCSPP,1.799732182,56,149,37.58389262
BASHAR,T1,2022,Sea Lettuce,ULVLAC,1.640134215,2,149,1.342281879
BASHAR,T1,2022,Fucus epibiont,FUCEPI,1.412826879,10,149,6.711409396
BASHAR,T1,2022,Irish Moss/False Irish Moss,CHOMAS,0.912470436,21,149,14.09395973
BASHAR,T1,2022,Articulated corallines,ARTCOR,0.87794514,7,149,4.697986577
BASHAR,T1,2022,Laver,PORSPP,0.899288826,1,149,0.67114094
BASHAR,T2,2022,Rock,ROCK,3.84376563,12,134,8.955223881
BASHAR,T2,2022,Crustose non-coralline,NONCOR,4.404626963,18,134,13.43283582
BASHAR,T2,2022,Water,WATER,4.404626943,1,134,0.746268657
BASHAR,T2,2022,Barnacle,BARSPP,3.263947322,13,134,9.701492537
BASHAR,T2,2022,Other Algae - Green,ALGGRE,3.167102901,1,134,0.746268657
BASHAR,T2,2022,Rockweed,FUCSPP,1.972947051,69,134,51.49253731
BASHAR,T2,2022,Fucus epibiont,FUCEPI,1.41409921,5,134,3.731343284
BASHAR,T2,2022,Irish Moss/False Irish Moss,CHOMAS,0.963978797,9,134,6.71641791
BASHAR,T2,2022,Articulated corallines,ARTCOR,0.947867785,3,134,2.23880597
BASHAR,T2,2022,Sea Lettuce,ULVLAC,0.987292485,3,134,2.23880597
BASHAR,T3,2022,Rock,ROCK,3.929436918,16,156,10.25641026
BASHAR,T3,2022,Crustose non-coralline,NONCOR,4.345613803,23,156,14.74358974
BASHAR,T3,2022,Water,WATER,3.852163515,4,156,2.564102564
BASHAR,T3,2022,Other Algae - Green,ALGGRE,3.391964527,3,156,1.923076923
BASHAR,T3,2022,Barnacle,BARSPP,3.046189494,18,156,11.53846154
BASHAR,T3,2022,Rockweed,FUCSPP,2.033221721,62,156,39.74358974
BASHAR,T3,2022,Laver,PORSPP,1.600233454,2,156,1.282051282
BASHAR,T3,2022,Fucus epibiont,FUCEPI,1.203791465,9,156,5.769230769
BASHAR,T3,2022,Sea Lettuce,ULVLAC,1.638672712,5,156,3.205128205
BASHAR,T3,2022,Irish Moss/False Irish Moss,CHOMAS,1.067116816,11,156,7.051282051
BASHAR,T3,2022,Other Algae - Red,ALGRED,1.187672356,1,156,0.641025641
BASHAR,T3,2022,Articulated corallines,ARTCOR,0.885109703,2,156,1.282051282
BASHAR,T1,2019,Rock,ROCK,4.127483367,25,151,16.55629139
BASHAR,T1,2019,Water,WATER,4.415002465,2,151,1.324503311
BASHAR,T1,2019,Crustose non-coralline,NONCOR,4.334513702,15,151,9.933774834
BASHAR,T1,2019,Barnacle,BARSPP,2.493142058,5,151,3.311258278
BASHAR,T1,2019,Rockweed,FUCSPP,1.694934964,85,151,56.29139073
BASHAR,T1,2019,Fucus epibiont,FUCEPI,0.904903991,11,151,7.284768212
BASHAR,T1,2019,Irish Moss/False Irish Moss,CHOMAS,0.911523918,6,151,3.973509934
BASHAR,T1,2019,Articulated corallines,ARTCOR,0.853404693,1,151,0.662251656
BASHAR,T2,2019,Rock,ROCK,3.867378426,23,150,15.33333333
BASHAR,T2,2019,Crustose non-coralline,NONCOR,4.390269621,12,150,8
BASHAR,T2,2019,Barnacle,BARSPP,2.610598975,11,150,7.333333333
BASHAR,T2,2019,Rockweed,FUCSPP,1.897200032,80,150,53.33333333
BASHAR,T2,2019,Fucus epibiont,FUCEPI,1.071382065,15,150,10
BASHAR,T2,2019,Irish Moss/False Irish Moss,CHOMAS,0.976898812,6,150,4
BASHAR,T2,2019,Water,WATER,0.980994032,3,150,2
BASHAR,T3,2019,Rock,ROCK,3.932847013,25,155,16.12903226
BASHAR,T3,2019,Crustose non-coralline,NONCOR,4.38908114,9,155,5.806451613
BASHAR,T3,2019,Water,WATER,3.754451314,4,155,2.580645161
BASHAR,T3,2019,Other Algae - Green,ALGGRE,3.468797916,5,155,3.225806452
BASHAR,T3,2019,Barnacle,BARSPP,3.040562209,21,155,13.5483871
BASHAR,T3,2019,Rockweed,FUCSPP,1.745847158,78,155,50.32258065
BASHAR,T3,2019,Fucus epibiont,FUCEPI,1.126799333,11,155,7.096774194
BASHAR,T3,2019,Irish Moss/False Irish Moss,CHOMAS,1.000318106,2,155,1.290322581
BASHAR,T1,2015,Rock,ROCK,4.157258556,28,150,18.66666667
BASHAR,T1,2015,Water,WATER,4.450267648,3,150,2
BASHAR,T1,2015,Crustose non-coralline,NONCOR,4.321195584,9,150,6
BASHAR,T1,2015,Gutweed,ULVINT,4.369597598,1,150,0.666666667
BASHAR,T1,2015,Barnacle,BARSPP,2.517733822,6,150,4
BASHAR,T1,2015,Rockweed,FUCSPP,1.750583387,76,150,50.66666667
BASHAR,T1,2015,Other Algae - Green,ALGGRE,0.886770772,9,150,6
BASHAR,T1,2015,Fucus epibiont,FUCEPI,0.927855815,3,150,2
BASHAR,T1,2015,Irish Moss/False Irish Moss,CHOMAS,0.872943141,13,150,8.666666667
BASHAR,T1,2015,Sea Lettuce,ULVLAC,0.639180194,2,150,1.333333333
BASHAR,T2,2015,Rock,ROCK,4.252717566,24,152,15.78947368
BASHAR,T2,2015,Water,WATER,0.996497448,4,152,2.631578947
BASHAR,T2,2015,Crustose non-coralline,NONCOR,4.088133804,12,152,7.894736842
BASHAR,T2,2015,Barnacle,BARSPP,2.553011065,17,152,11.18421053
BASHAR,T2,2015,Rockweed,FUCSPP,1.742643675,75,152,49.34210526
BASHAR,T2,2015,Knotted Wrack,ASCNOD,2.695804069,2,152,1.315789474
BASHAR,T2,2015,Fucus epibiont,FUCEPI,1.032594716,5,152,3.289473684
BASHAR,T2,2015,Irish Moss/False Irish Moss,CHOMAS,0.98612538,5,152,3.289473684
BASHAR,T2,2015,Sea Lettuce,ULVLAC,1.044855702,3,152,1.973684211
BASHAR,T2,2015,Other Algae - Green,ALGGRE,1.057116611,5,152,3.289473684
BASHAR,T3,2015,Rock,ROCK,4.3492566,23,157,14.64968153
BASHAR,T3,2015,Water,WATER,3.664508305,7,157,4.458598726
BASHAR,T3,2015,Crustose non-coralline,NONCOR,3.92675836,16,157,10.1910828
BASHAR,T3,2015,Barnacle,BARSPP,2.736629153,33,157,21.01910828
BASHAR,T3,2015,Rockweed,FUCSPP,1.631040463,58,157,36.94267516
BASHAR,T3,2015,Sea Lettuce,ULVLAC,1.538567068,4,157,2.547770701
BASHAR,T3,2015,Knotted Wrack,ASCNOD,2.058786003,1,157,0.636942675
BASHAR,T3,2015,Other Algae - Green,ALGGRE,1.164108003,5,157,3.184713376
BASHAR,T3,2015,Irish Moss/False Irish Moss,CHOMAS,1.067653441,7,157,4.458598726
BASHAR,T3,2015,Fucus epibiont,FUCEPI,1.123802695,3,157,1.910828025
BASHAR,T1,2023,Rock,ROCK,4.344486887,18,152,11.84210526
BASHAR,T1,2023,Water,WATER,4.402026236,4,152,2.631578947
BASHAR,T1,2023,Crustose non-coralline,NONCOR,3.844902836,27,152,17.76315789
BASHAR,T1,2023,Barnacle,BARSPP,1.514912935,11,152,7.236842105
BASHAR,T1,2023,Rockweed,FUCSPP,1.774725306,65,152,42.76315789
BASHAR,T1,2023,Fucus epibiont,FUCEPI,1.612266962,5,152,3.289473684
BASHAR,T1,2023,Other Algae - Red,ALGRED,1.649282387,1,152,0.657894737
BASHAR,T1,2023,Irish Moss/False Irish Moss,CHOMAS,0.871292133,15,152,9.868421053
BASHAR,T1,2023,Articulated corallines,ARTCOR,0.886676056,6,152,3.947368421
BASHAR,T2,2023,Rock,ROCK,3.81183292,13,152,8.552631579
BASHAR,T2,2023,Crustose non-coralline,NONCOR,4.300816926,25,152,16.44736842
BASHAR,T2,2023,Other Algae - Green,ALGGRE,1.706175647,5,152,3.289473684
BASHAR,T2,2023,Barnacle,BARSPP,3.086542309,10,152,6.578947368
BASHAR,T2,2023,Rockweed,FUCSPP,1.933650222,72,152,47.36842105
BASHAR,T2,2023,Fucus epibiont,FUCEPI,1.645714024,7,152,4.605263158
BASHAR,T2,2023,Sea Lettuce,ULVLAC,1.454820581,2,152,1.315789474
BASHAR,T2,2023,Irish Moss/False Irish Moss,CHOMAS,1.044112378,14,152,9.210526316
BASHAR,T2,2023,Water,WATER,0.975991894,3,152,1.973684211
BASHAR,T2,2023,Bolt,BOLT,0.950002015,1,152,0.657894737
BASHAR,T3,2023,Rock,ROCK,4.267222062,28,150,18.66666667
BASHAR,T3,2023,Crustose non-coralline,NONCOR,3.532401213,14,150,9.333333333
BASHAR,T3,2023,Water,WATER,3.693873909,8,150,5.333333333
BASHAR,T3,2023,Barnacle,BARSPP,3.093823471,14,150,9.333333333
BASHAR,T3,2023,Rockweed,FUCSPP,1.845299492,74,150,49.33333333
BASHAR,T3,2023,Sea Lettuce,ULVLAC,1.626223427,3,150,2
BASHAR,T3,2023,Fucus epibiont,FUCEPI,1.165081792,4,150,2.666666667
BASHAR,T3,2023,Other Algae - Green,ALGGRE,1.685979499,1,150,0.666666667
BASHAR,T3,2023,Articulated corallines,ARTCOR,1.064340487,4,150,2.666666667
BASHAR,T1,2013,Rock,ROCK,4.337424919,24,151,15.89403974
BASHAR,T1,2013,Water,WATER,4.390405647,4,151,2.649006623
BASHAR,T1,2013,Crustose non-coralline,NONCOR,3.864886294,15,151,9.933774834
BASHAR,T1,2013,Barnacle,BARSPP,2.533712566,7,151,4.635761589
BASHAR,T1,2013,Rockweed,FUCSPP,1.777191212,56,151,37.08609272
BASHAR,T1,2013,Unidentified,UNIDEN,0.859139482,4,151,2.649006623
BASHAR,T1,2013,Sea Lettuce,ULVLAC,0.931488904,17,151,11.25827815
BASHAR,T1,2013,Fucus epibiont,FUCEPI,1.333495485,2,151,1.324503311
BASHAR,T1,2013,Irish Moss/False Irish Moss,CHOMAS,0.896154173,17,151,11.25827815
BASHAR,T1,2013,Other Algae - Red,ALGRED,0.53420112,2,151,1.324503311
BASHAR,T1,2013,Articulated corallines,ARTCOR,0.870729112,3,151,1.986754967
BASHAR,T2,2013,Rock,ROCK,3.732613879,25,153,16.33986928
BASHAR,T2,2013,Crustose non-coralline,NONCOR,4.317868691,16,153,10.45751634
BASHAR,T2,2013,Water,WATER,0.990446829,4,153,2.614379085
BASHAR,T2,2013,Barnacle,BARSPP,2.526037572,22,153,14.37908497
BASHAR,T2,2013,Rockweed,FUCSPP,1.895719717,49,153,32.02614379
BASHAR,T2,2013,Sea Lettuce,ULVLAC,1.297280216,11,153,7.189542484
BASHAR,T2,2013,Fucus epibiont,FUCEPI,1.490730101,1,153,0.653594771
BASHAR,T2,2013,Irish Moss/False Irish Moss,CHOMAS,1.040768691,23,153,15.03267974
BASHAR,T2,2013,Other Algae - Green,ALGGRE,1.070243205,1,153,0.653594771
BASHAR,T2,2013,Laver,PORSPP,1.061994103,1,153,0.653594771
BASHAR,T3,2013,Rock,ROCK,4.357734913,22,156,14.1025641
BASHAR,T3,2013,Crustose non-coralline,NONCOR,3.91617623,16,156,10.25641026
BASHAR,T3,2013,Water,WATER,3.925017059,5,156,3.205128205
BASHAR,T3,2013,Barnacle,BARSPP,2.618996597,46,156,29.48717949
BASHAR,T3,2013,Rockweed,FUCSPP,1.608622839,38,156,24.35897436
BASHAR,T3,2013,Sea Lettuce,ULVLAC,1.159336734,12,156,7.692307692
BASHAR,T3,2013,Fucus epibiont,FUCEPI,1.179373624,6,156,3.846153846
BASHAR,T3,2013,Other Algae - Red,ALGRED,1.534164385,1,156,0.641025641
BASHAR,T3,2013,Irish Moss/False Irish Moss,CHOMAS,1.092566981,8,156,5.128205128
BASHAR,T3,2013,Laver,PORSPP,1.183173173,2,156,1.282051282
BASHAR,T1,2014,Bolt,BOLT,4.511030197,1,151,0.662251656
BASHAR,T1,2014,Rock,ROCK,4.34163089,15,151,9.933774834
BASHAR,T1,2014,Crustose non-coralline,NONCOR,4.018845559,23,151,15.23178808
BASHAR,T1,2014,Water,WATER,4.365502598,1,151,0.662251656
BASHAR,T1,2014,Barnacle,BARSPP,2.525297882,5,151,3.311258278
BASHAR,T1,2014,Rockweed,FUCSPP,1.766690983,75,151,49.66887417
BASHAR,T1,2014,Irish Moss/False Irish Moss,CHOMAS,0.902897065,16,151,10.59602649
BASHAR,T1,2014,Fucus epibiont,FUCEPI,1.463220435,7,151,4.635761589
BASHAR,T1,2014,Dulse,PALPAL,1.292334295,1,151,0.662251656
BASHAR,T1,2014,Sea Lettuce,ULVLAC,0.90638956,2,151,1.324503311
BASHAR,T1,2014,Articulated corallines,ARTCOR,0.870364614,1,151,0.662251656
BASHAR,T1,2014,Laver,PORSPP,0.867602487,1,151,0.662251656
BASHAR,T1,2014,Other Algae - Green,ALGGRE,0.572562816,3,151,1.986754967
BASHAR,T2,2014,Rock,ROCK,4.391094317,24,152,15.78947368
BASHAR,T2,2014,Crustose non-coralline,NONCOR,3.897800313,10,152,6.578947368
BASHAR,T2,2014,Barnacle,BARSPP,2.613979124,22,152,14.47368421
BASHAR,T2,2014,Rockweed,FUCSPP,1.739597483,69,152,45.39473684
BASHAR,T2,2014,Water,WATER,0.987611261,4,152,2.631578947
BASHAR,T2,2014,Fucus epibiont,FUCEPI,1.438452891,5,152,3.289473684
BASHAR,T2,2014,Other Algae - Green,ALGGRE,1.103636089,3,152,1.973684211
BASHAR,T2,2014,Irish Moss/False Irish Moss,CHOMAS,1.031521403,14,152,9.210526316
BASHAR,T2,2014,Unidentified,UNIDEN,0.94507605,1,152,0.657894737
BASHAR,T3,2014,Rock,ROCK,4.320108439,28,156,17.94871795
BASHAR,T3,2014,Crustose non-coralline,NONCOR,3.921351869,14,156,8.974358974
BASHAR,T3,2014,Water,WATER,3.840959548,4,156,2.564102564
BASHAR,T3,2014,Barnacle,BARSPP,2.617603889,42,156,26.92307692
BASHAR,T3,2014,Rockweed,FUCSPP,1.518686266,56,156,35.8974359
BASHAR,T3,2014,Fucus epibiont,FUCEPI,1.213808395,4,156,2.564102564
BASHAR,T3,2014,Sea Lettuce,ULVLAC,1.370625777,2,156,1.282051282
BASHAR,T3,2014,Laver,PORSPP,1.503855365,1,156,0.641025641
BASHAR,T3,2014,Irish Moss/False Irish Moss,CHOMAS,1.058817521,4,156,2.564102564
BASHAR,T3,2014,Articulated corallines,ARTCOR,0.7818141,1,156,0.641025641
BASHAR,T1,2017,Rock,ROCK,3.863049731,29,150,19.33333333
BASHAR,T1,2017,Crustose non-coralline,NONCOR,4.486420124,1,150,0.666666667
BASHAR,T1,2017,Water,WATER,4.416762554,2,150,1.333333333
BASHAR,T1,2017,Other Algae - Green,ALGGRE,3.88804496,19,150,12.66666667
BASHAR,T1,2017,Barnacle,BARSPP,2.471773478,8,150,5.333333333
BASHAR,T1,2017,Rockweed,FUCSPP,1.785417356,59,150,39.33333333
BASHAR,T1,2017,Fucus epibiont,FUCEPI,1.259576485,7,150,4.666666667
BASHAR,T1,2017,Irish Moss/False Irish Moss,CHOMAS,0.854127879,22,150,14.66666667
BASHAR,T1,2017,Articulated corallines,ARTCOR,0.570971425,2,150,1.333333333
BASHAR,T2,2017,Rock,ROCK,2.93330893,23,151,15.23178808
BASHAR,T2,2017,Crustose non-coralline,NONCOR,4.499977547,10,151,6.622516556
BASHAR,T2,2017,Other Algae - Green,ALGGRE,3.46466223,14,151,9.271523179
BASHAR,T2,2017,Barnacle,BARSPP,2.590873479,15,151,9.933774834
BASHAR,T2,2017,Rockweed,FUCSPP,1.921493546,58,151,38.41059603
BASHAR,T2,2017,Fucus epibiont,FUCEPI,1.158373481,5,151,3.311258278
BASHAR,T2,2017,Irish Moss/False Irish Moss,CHOMAS,0.98850012,15,151,9.933774834
BASHAR,T2,2017,Laver,PORSPP,0.973447038,5,151,3.311258278
BASHAR,T2,2017,Other Algae - Red,ALGRED,0.821214585,2,151,1.324503311
BASHAR,T2,2017,Water,WATER,0.943170248,3,151,1.986754967
BASHAR,T3,2017,Rock,ROCK,3.736516429,22,156,14.1025641
BASHAR,T3,2017,Crustose non-coralline,NONCOR,4.39225916,10,156,6.41025641
BASHAR,T3,2017,Water,WATER,3.851043604,4,156,2.564102564
BASHAR,T3,2017,Other Algae - Green,ALGGRE,3.451685593,14,156,8.974358974
BASHAR,T3,2017,Barnacle,BARSPP,2.660356144,35,156,22.43589744
BASHAR,T3,2017,Rockweed,FUCSPP,1.916324748,46,156,29.48717949
BASHAR,T3,2017,Fucus epibiont,FUCEPI,1.222782496,7,156,4.487179487
BASHAR,T3,2017,Irish Moss/False Irish Moss,CHOMAS,1.095685541,9,156,5.769230769
BASHAR,T3,2017,Laver,PORSPP,1.100042204,4,156,2.564102564
BASHAR,T3,2017,Sea Lettuce,ULVLAC,1.100042204,3,156,1.923076923
BASHAR,T3,2017,Other Algae - Red,ALGRED,1.172360682,1,156,0.641025641
BASHAR,T3,2017,Articulated corallines,ARTCOR,1.049608213,1,156,0.641025641
BASHAR,T1,2016,Rock,ROCK,4.115165558,16,148,10.81081081
BASHAR,T1,2016,Water,WATER,4.416606677,2,148,1.351351351
BASHAR,T1,2016,Crustose non-coralline,NONCOR,4.388925508,13,148,8.783783784
BASHAR,T1,2016,Other Algae - Green,ALGGRE,4.051727627,6,148,4.054054054
BASHAR,T1,2016,Barnacle,BARSPP,2.766522272,6,148,4.054054054
BASHAR,T1,2016,Rockweed,FUCSPP,1.741973556,88,148,59.45945946
BASHAR,T1,2016,Fucus epibiont,FUCEPI,0.926854545,5,148,3.378378378
BASHAR,T1,2016,Irish Moss/False Irish Moss,CHOMAS,0.871560343,12,148,8.108108108
BASHAR,T2,2016,Rock,ROCK,3.818349771,12,150,8
BASHAR,T2,2016,Crustose non-coralline,NONCOR,4.450913922,11,150,7.333333333
BASHAR,T2,2016,Other Substrate,OTHSUB,4.668279417,1,150,0.666666667
BASHAR,T2,2016,Other Algae - Green,ALGGRE,4.295697114,7,150,4.666666667
BASHAR,T2,2016,Water,WATER,0.981793557,4,150,2.666666667
BASHAR,T2,2016,Barnacle,BARSPP,2.826951368,11,150,7.333333333
BASHAR,T2,2016,Rockweed,FUCSPP,1.889384242,90,150,60
BASHAR,T2,2016,Fucus epibiont,FUCEPI,1.624920231,1,150,0.666666667
BASHAR,T2,2016,Irish Moss/False Irish Moss,CHOMAS,1.010997344,11,150,7.333333333
BASHAR,T2,2016,Articulated corallines,ARTCOR,1.020458761,1,150,0.666666667
BASHAR,T2,2016,Crustose coralline,CRUCOR,1.061178538,1,150,0.666666667
BASHAR,T3,2016,Rock,ROCK,3.759587393,20,156,12.82051282
BASHAR,T3,2016,Crustose non-coralline,NONCOR,4.368458011,11,156,7.051282051
BASHAR,T3,2016,Water,WATER,3.821761698,7,156,4.487179487
BASHAR,T3,2016,Other Algae - Green,ALGGRE,4.331141327,5,156,3.205128205
BASHAR,T3,2016,Barnacle,BARSPP,2.890964855,25,156,16.02564103
BASHAR,T3,2016,Rockweed,FUCSPP,1.667690994,77,156,49.35897436
BASHAR,T3,2016,Irish Moss/False Irish Moss,CHOMAS,1.13647654,8,156,5.128205128
BASHAR,T3,2016,Fucus epibiont,FUCEPI,1.196325587,3,156,1.923076923
BASHAR,T1,2024,Rock,ROCK,3.787894407,37,151,24.50331126
BASHAR,T1,2024,Crustose non-coralline,NONCOR,4.383232043,5,151,3.311258278
BASHAR,T1,2024,Other Algae - Green,ALGGRE,3.194892323,3,151,1.986754967
BASHAR,T1,2024,Barnacle,BARSPP,2.52767794,6,151,3.973509934
BASHAR,T1,2024,Rockweed,FUCSPP,1.691665923,79,151,52.31788079
BASHAR,T1,2024,Fucus epibiont,FUCEPI,1.020301171,8,151,5.298013245
BASHAR,T1,2024,Articulated corallines,ARTCOR,0.891463454,4,151,2.649006623
BASHAR,T1,2024,Irish Moss/False Irish Moss,CHOMAS,0.671326425,9,151,5.960264901
BASHAR,T2,2024,Rock,ROCK,4.296923017,33,151,21.85430464
BASHAR,T2,2024,Crustose non-coralline,NONCOR,3.666378669,3,151,1.986754967
BASHAR,T2,2024,Barnacle,BARSPP,2.959898532,5,151,3.311258278
BASHAR,T2,2024,Rockweed,FUCSPP,1.894824536,90,151,59.60264901
BASHAR,T2,2024,Fucus epibiont,FUCEPI,1.51681802,8,151,5.298013245
BASHAR,T2,2024,Irish Moss/False Irish Moss,CHOMAS,1.056629822,10,151,6.622516556
BASHAR,T2,2024,Articulated corallines,ARTCOR,0.813611287,2,151,1.324503311
BASHAR,T3,2024,Other Algae - Green,ALGGRE,4.49474287,1,159,0.628930818
BASHAR,T3,2024,Rock,ROCK,4.181727497,43,159,27.04402516
BASHAR,T3,2024,Crustose non-coralline,NONCOR,4.430569544,1,159,0.628930818
BASHAR,T3,2024,Barnacle,BARSPP,3.502949344,5,159,3.144654088
BASHAR,T3,2024,Rockweed,FUCSPP,2.022186421,90,159,56.60377358
BASHAR,T3,2024,Fucus epibiont,FUCEPI,1.288528399,16,159,10.06289308
BASHAR,T3,2024,Irish Moss/False Irish Moss,CHOMAS,0.735954569,3,159,1.886792453
BASHAR,T1,2021,Rock,ROCK,3.887673561,28,150,18.66666667
BASHAR,T1,2021,Crustose non-coralline,NONCOR,4.338026636,11,150,7.333333333
BASHAR,T1,2021,Water,WATER,4.371298678,3,150,2
BASHAR,T1,2021,Barnacle,BARSPP,2.459592036,3,150,2
BASHAR,T1,2021,Rockweed,FUCSPP,1.762490114,71,150,47.33333333
BASHAR,T1,2021,Fucus epibiont,FUCEPI,1.332001179,8,150,5.333333333
BASHAR,T1,2021,Irish Moss/False Irish Moss,CHOMAS,0.871877353,21,150,14
BASHAR,T1,2021,Articulated corallines,ARTCOR,0.695444396,4,150,2.666666667
BASHAR,T1,2021,,,NA,0,150,0
BASHAR,T2,2021,Rock,ROCK,4.166853282,27,152,17.76315789
BASHAR,T2,2021,Other Algae - Green,ALGGRE,4.549667998,1,152,0.657894737
BASHAR,T2,2021,Crustose non-coralline,NONCOR,4.427952415,3,152,1.973684211
BASHAR,T2,2021,Water,WATER,0.997727498,5,152,3.289473684
BASHAR,T2,2021,Barnacle,BARSPP,3.345197076,9,152,5.921052632
BASHAR,T2,2021,Rockweed,FUCSPP,1.921741108,83,152,54.60526316
BASHAR,T2,2021,Fucus epibiont,FUCEPI,1.563481557,6,152,3.947368421
BASHAR,T2,2021,Irish Moss/False Irish Moss,CHOMAS,0.963384957,16,152,10.52631579
BASHAR,T2,2021,Other Invertebrate,OTHINV,1.00019881,1,152,0.657894737
BASHAR,T2,2021,Articulated corallines,ARTCOR,1.061457564,1,152,0.657894737
BASHAR,T3,2021,Bolt,BOLT,3.277448893,2,157,1.27388535
BASHAR,T3,2021,Rock,ROCK,3.928820798,26,157,16.56050955
BASHAR,T3,2021,Crustose non-coralline,NONCOR,4.339448578,10,157,6.369426752
BASHAR,T3,2021,Water,WATER,3.775398725,8,157,5.095541401
BASHAR,T3,2021,Barnacle,BARSPP,3.099521122,14,157,8.917197452
BASHAR,T3,2021,Rockweed,FUCSPP,1.965762824,85,157,54.14012739
BASHAR,T3,2021,Fucus epibiont,FUCEPI,1.242022236,4,157,2.547770701
BASHAR,T3,2021,Irish Moss/False Irish Moss,CHOMAS,1.034884216,5,157,3.184713376
BASHAR,T3,2021,Articulated corallines,ARTCOR,1.070460797,3,157,1.910828025
