"SiteCode","Year","CommunityType","CoverType","ScientificName","CoverCode","avg_cover","median_cover","min_cover","max_cover","q25_cover","q75_cover"
"BASHAR",2018,"Ascophyllum","A. nodosum (knotted wrack)","Vertebrata lanosa/Elachista fucicola","ASCNOD",6.4,7,0,14,3,8
"BASHAR",2018,"Ascophyllum","Barnacle","Semibalanus balanoides","BARSPP",0.4,0,0,1,0,1
"BASHAR",2018,"Ascophyllum","Crustose non-coralline","Calothrix","NONCOR",0,0,0,0,0,0
"BASHAR",2018,"Ascophyllum","Fucus spp. (Rockweed)","Elachista fucicola","FUCSPP",1,0,0,4,0,1
"BASHAR",2018,"Ascophyllum","Red algae group","Gigartinales","REDGRP",0.4,0,0,2,0,0
"BASHAR",2018,"Ascophyllum","A. nodosum (knotted wrack)","Ascophyllum nodosum","ASCNOD",76,81,49,87,78,85
"BASHAR",2018,"Ascophyllum","Mussel","Mytilus edulis","MUSSPP",0,0,0,0,0,0
"BASHAR",2018,"Ascophyllum","Red algae group","Rhodophyta","REDGRP",0.4,0,0,2,0,0
"BASHAR",2018,"Ascophyllum","Fucus spp. (Rockweed)","Fucus","FUCSPP",13.6,10,4,37,7,10
"BASHAR",2018,"Barnacle","A. nodosum (knotted wrack)","Vertebrata lanosa/Elachista fucicola","ASCNOD",0,0,0,0,0,0
"BASHAR",2018,"Barnacle","Barnacle","Semibalanus balanoides","BARSPP",8.4,10,0,12,9,11
"BASHAR",2018,"Barnacle","Crustose non-coralline","Calothrix","NONCOR",0.4,0,0,1,0,1
"BASHAR",2018,"Barnacle","Fucus spp. (Rockweed)","Elachista fucicola","FUCSPP",0,0,0,0,0,0
"BASHAR",2018,"Barnacle","Red algae group","Gigartinales","REDGRP",0,0,0,0,0,0
"BASHAR",2018,"Barnacle","A. nodosum (knotted wrack)","Ascophyllum nodosum","ASCNOD",0,0,0,0,0,0
"BASHAR",2018,"Barnacle","Mussel","Mytilus edulis","MUSSPP",0,0,0,0,0,0
"BASHAR",2018,"Barnacle","Red algae group","Rhodophyta","REDGRP",0,0,0,0,0,0
"BASHAR",2018,"Barnacle","Fucus spp. (Rockweed)","Fucus","FUCSPP",80.6,84,73,85,76,85
"BASHAR",2018,"Fucus","A. nodosum (knotted wrack)","Vertebrata lanosa/Elachista fucicola","ASCNOD",0,0,0,0,0,0
"BASHAR",2018,"Fucus","Barnacle","Semibalanus balanoides","BARSPP",3.4,3,1,6,2,5
"BASHAR",2018,"Fucus","Crustose non-coralline","Calothrix","NONCOR",0.6,0,0,2,0,1
"BASHAR",2018,"Fucus","Fucus spp. (Rockweed)","Elachista fucicola","FUCSPP",0,0,0,0,0,0
"BASHAR",2018,"Fucus","Red algae group","Gigartinales","REDGRP",0,0,0,0,0,0
"BASHAR",2018,"Fucus","A. nodosum (knotted wrack)","Ascophyllum nodosum","ASCNOD",0,0,0,0,0,0
"BASHAR",2018,"Fucus","Mussel","Mytilus edulis","MUSSPP",0,0,0,0,0,0
"BASHAR",2018,"Fucus","Red algae group","Rhodophyta","REDGRP",1.4,0,0,5,0,2
"BASHAR",2018,"Fucus","Fucus spp. (Rockweed)","Fucus","FUCSPP",90.6,90,86,99,88,90
"BASHAR",2018,"Red Algae","A. nodosum (knotted wrack)","Vertebrata lanosa/Elachista fucicola","ASCNOD",0,0,0,0,0,0
"BASHAR",2018,"Red Algae","Barnacle","Semibalanus balanoides","BARSPP",0.2,0,0,1,0,0
"BASHAR",2018,"Red Algae","Crustose non-coralline","Calothrix","NONCOR",0.2,0,0,1,0,0
"BASHAR",2018,"Red Algae","Fucus spp. (Rockweed)","Elachista fucicola","FUCSPP",1,1,0,2,0,2
"BASHAR",2018,"Red Algae","Red algae group","Gigartinales","REDGRP",57.4,53,44,75,45,70
"BASHAR",2018,"Red Algae","A. nodosum (knotted wrack)","Ascophyllum nodosum","ASCNOD",0,0,0,0,0,0
"BASHAR",2018,"Red Algae","Mussel","Mytilus edulis","MUSSPP",0,0,0,0,0,0
"BASHAR",2018,"Red Algae","Red algae group","Rhodophyta","REDGRP",0.2,0,0,1,0,0
"BASHAR",2018,"Red Algae","Fucus spp. (Rockweed)","Fucus","FUCSPP",12.4,13,0,36,0,13
"BASHAR",2022,"Ascophyllum","A. nodosum (knotted wrack)","Vertebrata lanosa/Elachista fucicola","ASCNOD",7,4,0,17,3,11
"BASHAR",2022,"Ascophyllum","Barnacle","Semibalanus balanoides","BARSPP",0,0,0,0,0,0
"BASHAR",2022,"Ascophyllum","Crustose non-coralline","Calothrix","NONCOR",0.2,0,0,1,0,0
"BASHAR",2022,"Ascophyllum","Fucus spp. (Rockweed)","Elachista fucicola","FUCSPP",0,0,0,0,0,0
"BASHAR",2022,"Ascophyllum","Red algae group","Gigartinales","REDGRP",0,0,0,0,0,0
"BASHAR",2022,"Ascophyllum","A. nodosum (knotted wrack)","Ascophyllum nodosum","ASCNOD",86.6,87,81,92,85,88
"BASHAR",2022,"Ascophyllum","Mussel","Mytilus edulis","MUSSPP",0,0,0,0,0,0
"BASHAR",2022,"Ascophyllum","Red algae group","Rhodophyta","REDGRP",0,0,0,0,0,0
"BASHAR",2022,"Ascophyllum","Fucus spp. (Rockweed)","Fucus","FUCSPP",5.4,7,0,9,3,8
"BASHAR",2022,"Barnacle","A. nodosum (knotted wrack)","Vertebrata lanosa/Elachista fucicola","ASCNOD",0,0,0,0,0,0
"BASHAR",2022,"Barnacle","Barnacle","Semibalanus balanoides","BARSPP",2.8,2,0,8,1,3
"BASHAR",2022,"Barnacle","Crustose non-coralline","Calothrix","NONCOR",1.2,1,0,4,0,1
"BASHAR",2022,"Barnacle","Fucus spp. (Rockweed)","Elachista fucicola","FUCSPP",0,0,0,0,0,0
"BASHAR",2022,"Barnacle","Red algae group","Gigartinales","REDGRP",0.2,0,0,1,0,0
"BASHAR",2022,"Barnacle","A. nodosum (knotted wrack)","Ascophyllum nodosum","ASCNOD",0.2,0,0,1,0,0
"BASHAR",2022,"Barnacle","Mussel","Mytilus edulis","MUSSPP",0,0,0,0,0,0
"BASHAR",2022,"Barnacle","Red algae group","Rhodophyta","REDGRP",0,0,0,0,0,0
"BASHAR",2022,"Barnacle","Fucus spp. (Rockweed)","Fucus","FUCSPP",94,96,87,98,93,96
"BASHAR",2022,"Fucus","A. nodosum (knotted wrack)","Vertebrata lanosa/Elachista fucicola","ASCNOD",0,0,0,0,0,0
"BASHAR",2022,"Fucus","Barnacle","Semibalanus balanoides","BARSPP",4.4,1,0,12,1,8
"BASHAR",2022,"Fucus","Crustose non-coralline","Calothrix","NONCOR",1.8,1,0,5,0,3
"BASHAR",2022,"Fucus","Fucus spp. (Rockweed)","Elachista fucicola","FUCSPP",0,0,0,0,0,0
"BASHAR",2022,"Fucus","Red algae group","Gigartinales","REDGRP",2.6,0,0,12,0,1
"BASHAR",2022,"Fucus","A. nodosum (knotted wrack)","Ascophyllum nodosum","ASCNOD",0,0,0,0,0,0
"BASHAR",2022,"Fucus","Mussel","Mytilus edulis","MUSSPP",0,0,0,0,0,0
"BASHAR",2022,"Fucus","Red algae group","Rhodophyta","REDGRP",0.8,1,0,2,0,1
"BASHAR",2022,"Fucus","Fucus spp. (Rockweed)","Fucus","FUCSPP",88.4,86,78,97,84,97
"BASHAR",2022,"Red Algae","A. nodosum (knotted wrack)","Vertebrata lanosa/Elachista fucicola","ASCNOD",0,0,0,0,0,0
"BASHAR",2022,"Red Algae","Barnacle","Semibalanus balanoides","BARSPP",0,0,0,0,0,0
"BASHAR",2022,"Red Algae","Crustose non-coralline","Calothrix","NONCOR",0.4,0,0,2,0,0
"BASHAR",2022,"Red Algae","Fucus spp. (Rockweed)","Elachista fucicola","FUCSPP",0,0,0,0,0,0
"BASHAR",2022,"Red Algae","Red algae group","Gigartinales","REDGRP",51.2,55,35,68,37,61
"BASHAR",2022,"Red Algae","A. nodosum (knotted wrack)","Ascophyllum nodosum","ASCNOD",0,0,0,0,0,0
"BASHAR",2022,"Red Algae","Mussel","Mytilus edulis","MUSSPP",0,0,0,0,0,0
"BASHAR",2022,"Red Algae","Red algae group","Rhodophyta","REDGRP",3.6,0,0,17,0,1
"BASHAR",2022,"Red Algae","Fucus spp. (Rockweed)","Fucus","FUCSPP",0,0,0,0,0,0
"BASHAR",2019,"Ascophyllum","A. nodosum (knotted wrack)","Vertebrata lanosa/Elachista fucicola","ASCNOD",9.4,9,0,17,4,17
"BASHAR",2019,"Ascophyllum","Barnacle","Semibalanus balanoides","BARSPP",0.2,0,0,1,0,0
"BASHAR",2019,"Ascophyllum","Crustose non-coralline","Calothrix","NONCOR",0.4,0,0,2,0,0
"BASHAR",2019,"Ascophyllum","Fucus spp. (Rockweed)","Elachista fucicola","FUCSPP",0,0,0,0,0,0
"BASHAR",2019,"Ascophyllum","Red algae group","Gigartinales","REDGRP",0,0,0,0,0,0
"BASHAR",2019,"Ascophyllum","A. nodosum (knotted wrack)","Ascophyllum nodosum","ASCNOD",76.2,78,69,82,70,82
"BASHAR",2019,"Ascophyllum","Mussel","Mytilus edulis","MUSSPP",0,0,0,0,0,0
"BASHAR",2019,"Ascophyllum","Red algae group","Rhodophyta","REDGRP",0.2,0,0,1,0,0
"BASHAR",2019,"Ascophyllum","Fucus spp. (Rockweed)","Fucus","FUCSPP",13.4,14,1,22,13,17
"BASHAR",2019,"Barnacle","A. nodosum (knotted wrack)","Vertebrata lanosa/Elachista fucicola","ASCNOD",0,0,0,0,0,0
"BASHAR",2019,"Barnacle","Barnacle","Semibalanus balanoides","BARSPP",1.6,1,0,3,1,3
"BASHAR",2019,"Barnacle","Crustose non-coralline","Calothrix","NONCOR",0.2,0,0,1,0,0
"BASHAR",2019,"Barnacle","Fucus spp. (Rockweed)","Elachista fucicola","FUCSPP",0.4,0,0,2,0,0
"BASHAR",2019,"Barnacle","Red algae group","Gigartinales","REDGRP",0.4,0,0,2,0,0
"BASHAR",2019,"Barnacle","A. nodosum (knotted wrack)","Ascophyllum nodosum","ASCNOD",0.2,0,0,1,0,0
"BASHAR",2019,"Barnacle","Mussel","Mytilus edulis","MUSSPP",0,0,0,0,0,0
"BASHAR",2019,"Barnacle","Red algae group","Rhodophyta","REDGRP",0.4,0,0,1,0,1
"BASHAR",2019,"Barnacle","Fucus spp. (Rockweed)","Fucus","FUCSPP",96.6,97,94,100,95,97
"BASHAR",2019,"Fucus","A. nodosum (knotted wrack)","Vertebrata lanosa/Elachista fucicola","ASCNOD",0,0,0,0,0,0
"BASHAR",2019,"Fucus","Barnacle","Semibalanus balanoides","BARSPP",1.2,0,0,6,0,0
"BASHAR",2019,"Fucus","Crustose non-coralline","Calothrix","NONCOR",3.6,0,0,10,0,8
"BASHAR",2019,"Fucus","Fucus spp. (Rockweed)","Elachista fucicola","FUCSPP",0,0,0,0,0,0
"BASHAR",2019,"Fucus","Red algae group","Gigartinales","REDGRP",0,0,0,0,0,0
"BASHAR",2019,"Fucus","A. nodosum (knotted wrack)","Ascophyllum nodosum","ASCNOD",0,0,0,0,0,0
"BASHAR",2019,"Fucus","Mussel","Mytilus edulis","MUSSPP",0,0,0,0,0,0
"BASHAR",2019,"Fucus","Red algae group","Rhodophyta","REDGRP",0.8,0,0,3,0,1
"BASHAR",2019,"Fucus","Fucus spp. (Rockweed)","Fucus","FUCSPP",93.8,95,84,100,91,99
"BASHAR",2019,"Red Algae","A. nodosum (knotted wrack)","Vertebrata lanosa/Elachista fucicola","ASCNOD",0,0,0,0,0,0
"BASHAR",2019,"Red Algae","Barnacle","Semibalanus balanoides","BARSPP",0,0,0,0,0,0
"BASHAR",2019,"Red Algae","Crustose non-coralline","Calothrix","NONCOR",0,0,0,0,0,0
"BASHAR",2019,"Red Algae","Fucus spp. (Rockweed)","Elachista fucicola","FUCSPP",0.2,0,0,1,0,0
"BASHAR",2019,"Red Algae","Red algae group","Gigartinales","REDGRP",55.6,61,38,74,40,65
"BASHAR",2019,"Red Algae","A. nodosum (knotted wrack)","Ascophyllum nodosum","ASCNOD",0,0,0,0,0,0
"BASHAR",2019,"Red Algae","Mussel","Mytilus edulis","MUSSPP",0,0,0,0,0,0
"BASHAR",2019,"Red Algae","Red algae group","Rhodophyta","REDGRP",4.2,4,0,7,4,6
"BASHAR",2019,"Red Algae","Fucus spp. (Rockweed)","Fucus","FUCSPP",14.4,18,5,23,7,19
"BASHAR",2015,"Ascophyllum","A. nodosum (knotted wrack)","Vertebrata lanosa/Elachista fucicola","ASCNOD",11.6,11,1,23,8,15
"BASHAR",2015,"Ascophyllum","Barnacle","Semibalanus balanoides","BARSPP",0,0,0,0,0,0
"BASHAR",2015,"Ascophyllum","Crustose non-coralline","Calothrix","NONCOR",0,0,0,0,0,0
"BASHAR",2015,"Ascophyllum","Fucus spp. (Rockweed)","Elachista fucicola","FUCSPP",0,0,0,0,0,0
"BASHAR",2015,"Ascophyllum","Red algae group","Gigartinales","REDGRP",0,0,0,0,0,0
"BASHAR",2015,"Ascophyllum","A. nodosum (knotted wrack)","Ascophyllum nodosum","ASCNOD",74.8,78,50,97,70,79
"BASHAR",2015,"Ascophyllum","Mussel","Mytilus edulis","MUSSPP",0,0,0,0,0,0
"BASHAR",2015,"Ascophyllum","Red algae group","Rhodophyta","REDGRP",0,0,0,0,0,0
"BASHAR",2015,"Ascophyllum","Fucus spp. (Rockweed)","Fucus","FUCSPP",13.2,10,2,26,6,22
"BASHAR",2015,"Barnacle","A. nodosum (knotted wrack)","Vertebrata lanosa/Elachista fucicola","ASCNOD",0,0,0,0,0,0
"BASHAR",2015,"Barnacle","Barnacle","Semibalanus balanoides","BARSPP",13.6,17,2,19,12,18
"BASHAR",2015,"Barnacle","Crustose non-coralline","Calothrix","NONCOR",0,0,0,0,0,0
"BASHAR",2015,"Barnacle","Fucus spp. (Rockweed)","Elachista fucicola","FUCSPP",0,0,0,0,0,0
"BASHAR",2015,"Barnacle","Red algae group","Gigartinales","REDGRP",0,0,0,0,0,0
"BASHAR",2015,"Barnacle","A. nodosum (knotted wrack)","Ascophyllum nodosum","ASCNOD",0,0,0,0,0,0
"BASHAR",2015,"Barnacle","Mussel","Mytilus edulis","MUSSPP",0,0,0,0,0,0
"BASHAR",2015,"Barnacle","Red algae group","Rhodophyta","REDGRP",0,0,0,0,0,0
"BASHAR",2015,"Barnacle","Fucus spp. (Rockweed)","Fucus","FUCSPP",84.4,82,78,98,80,84
"BASHAR",2015,"Fucus","A. nodosum (knotted wrack)","Vertebrata lanosa/Elachista fucicola","ASCNOD",0,0,0,0,0,0
"BASHAR",2015,"Fucus","Barnacle","Semibalanus balanoides","BARSPP",4,2,2,8,2,6
"BASHAR",2015,"Fucus","Crustose non-coralline","Calothrix","NONCOR",0,0,0,0,0,0
"BASHAR",2015,"Fucus","Fucus spp. (Rockweed)","Elachista fucicola","FUCSPP",0,0,0,0,0,0
"BASHAR",2015,"Fucus","Red algae group","Gigartinales","REDGRP",0,0,0,0,0,0
"BASHAR",2015,"Fucus","A. nodosum (knotted wrack)","Ascophyllum nodosum","ASCNOD",0,0,0,0,0,0
"BASHAR",2015,"Fucus","Mussel","Mytilus edulis","MUSSPP",0,0,0,0,0,0
"BASHAR",2015,"Fucus","Red algae group","Rhodophyta","REDGRP",0,0,0,0,0,0
"BASHAR",2015,"Fucus","Fucus spp. (Rockweed)","Fucus","FUCSPP",95.6,97,92,98,94,97
"BASHAR",2015,"Red Algae","A. nodosum (knotted wrack)","Vertebrata lanosa/Elachista fucicola","ASCNOD",0,0,0,0,0,0
"BASHAR",2015,"Red Algae","Barnacle","Semibalanus balanoides","BARSPP",0,0,0,0,0,0
"BASHAR",2015,"Red Algae","Crustose non-coralline","Calothrix","NONCOR",0,0,0,0,0,0
"BASHAR",2015,"Red Algae","Fucus spp. (Rockweed)","Elachista fucicola","FUCSPP",0,0,0,0,0,0
"BASHAR",2015,"Red Algae","Red algae group","Gigartinales","REDGRP",40.2,48,17,55,31,50
"BASHAR",2015,"Red Algae","A. nodosum (knotted wrack)","Ascophyllum nodosum","ASCNOD",0,0,0,0,0,0
"BASHAR",2015,"Red Algae","Mussel","Mytilus edulis","MUSSPP",0,0,0,0,0,0
"BASHAR",2015,"Red Algae","Red algae group","Rhodophyta","REDGRP",0,0,0,0,0,0
"BASHAR",2015,"Red Algae","Fucus spp. (Rockweed)","Fucus","FUCSPP",0,0,0,0,0,0
"BASHAR",2023,"Ascophyllum","A. nodosum (knotted wrack)","Vertebrata lanosa/Elachista fucicola","ASCNOD",12.8,13,4,20,11,16
"BASHAR",2023,"Ascophyllum","Barnacle","Semibalanus balanoides","BARSPP",0,0,0,0,0,0
"BASHAR",2023,"Ascophyllum","Crustose non-coralline","Calothrix","NONCOR",0,0,0,0,0,0
"BASHAR",2023,"Ascophyllum","Fucus spp. (Rockweed)","Elachista fucicola","FUCSPP",0,0,0,0,0,0
"BASHAR",2023,"Ascophyllum","Red algae group","Gigartinales","REDGRP",0,0,0,0,0,0
"BASHAR",2023,"Ascophyllum","A. nodosum (knotted wrack)","Ascophyllum nodosum","ASCNOD",81.8,84,68,95,75,87
"BASHAR",2023,"Ascophyllum","Mussel","Mytilus edulis","MUSSPP",0,0,0,0,0,0
"BASHAR",2023,"Ascophyllum","Red algae group","Rhodophyta","REDGRP",0,0,0,0,0,0
"BASHAR",2023,"Ascophyllum","Fucus spp. (Rockweed)","Fucus","FUCSPP",5,0,0,13,0,12
"BASHAR",2023,"Barnacle","A. nodosum (knotted wrack)","Vertebrata lanosa/Elachista fucicola","ASCNOD",0.4,0,0,2,0,0
"BASHAR",2023,"Barnacle","Barnacle","Semibalanus balanoides","BARSPP",4.2,3,1,9,2,6
"BASHAR",2023,"Barnacle","Crustose non-coralline","Calothrix","NONCOR",0.6,1,0,1,0,1
"BASHAR",2023,"Barnacle","Fucus spp. (Rockweed)","Elachista fucicola","FUCSPP",2.8,2,1,5,1,5
"BASHAR",2023,"Barnacle","Red algae group","Gigartinales","REDGRP",0.2,0,0,1,0,0
"BASHAR",2023,"Barnacle","A. nodosum (knotted wrack)","Ascophyllum nodosum","ASCNOD",0,0,0,0,0,0
"BASHAR",2023,"Barnacle","Mussel","Mytilus edulis","MUSSPP",0,0,0,0,0,0
"BASHAR",2023,"Barnacle","Red algae group","Rhodophyta","REDGRP",0,0,0,0,0,0
"BASHAR",2023,"Barnacle","Fucus spp. (Rockweed)","Fucus","FUCSPP",89.6,89,85,95,88,91
"BASHAR",2023,"Fucus","A. nodosum (knotted wrack)","Vertebrata lanosa/Elachista fucicola","ASCNOD",0,0,0,0,0,0
"BASHAR",2023,"Fucus","Barnacle","Semibalanus balanoides","BARSPP",9.2,7,2,17,7,13
"BASHAR",2023,"Fucus","Crustose non-coralline","Calothrix","NONCOR",4.4,5,1,7,3,6
"BASHAR",2023,"Fucus","Fucus spp. (Rockweed)","Elachista fucicola","FUCSPP",2.8,2,0,6,2,4
"BASHAR",2023,"Fucus","Red algae group","Gigartinales","REDGRP",1.4,0,0,6,0,1
"BASHAR",2023,"Fucus","A. nodosum (knotted wrack)","Ascophyllum nodosum","ASCNOD",0,0,0,0,0,0
"BASHAR",2023,"Fucus","Mussel","Mytilus edulis","MUSSPP",0,0,0,0,0,0
"BASHAR",2023,"Fucus","Red algae group","Rhodophyta","REDGRP",3.2,0,0,16,0,0
"BASHAR",2023,"Fucus","Fucus spp. (Rockweed)","Fucus","FUCSPP",76.6,79,63,86,74,81
"BASHAR",2023,"Red Algae","A. nodosum (knotted wrack)","Vertebrata lanosa/Elachista fucicola","ASCNOD",0,0,0,0,0,0
"BASHAR",2023,"Red Algae","Barnacle","Semibalanus balanoides","BARSPP",0,0,0,0,0,0
"BASHAR",2023,"Red Algae","Crustose non-coralline","Calothrix","NONCOR",1.2,0,0,6,0,0
"BASHAR",2023,"Red Algae","Fucus spp. (Rockweed)","Elachista fucicola","FUCSPP",0,0,0,0,0,0
"BASHAR",2023,"Red Algae","Red algae group","Gigartinales","REDGRP",37.8,32,25,65,32,35
"BASHAR",2023,"Red Algae","A. nodosum (knotted wrack)","Ascophyllum nodosum","ASCNOD",0,0,0,0,0,0
"BASHAR",2023,"Red Algae","Mussel","Mytilus edulis","MUSSPP",0,0,0,0,0,0
"BASHAR",2023,"Red Algae","Red algae group","Rhodophyta","REDGRP",4.2,4,0,9,2,6
"BASHAR",2023,"Red Algae","Fucus spp. (Rockweed)","Fucus","FUCSPP",1.2,0,0,6,0,0
"BASHAR",2013,"Ascophyllum","A. nodosum (knotted wrack)","Vertebrata lanosa/Elachista fucicola","ASCNOD",17.6,22,2,27,14,23
"BASHAR",2013,"Ascophyllum","Barnacle","Semibalanus balanoides","BARSPP",0.4,0,0,1,0,1
"BASHAR",2013,"Ascophyllum","Crustose non-coralline","Calothrix","NONCOR",0,0,0,0,0,0
"BASHAR",2013,"Ascophyllum","Fucus spp. (Rockweed)","Elachista fucicola","FUCSPP",0,0,0,0,0,0
"BASHAR",2013,"Ascophyllum","Red algae group","Gigartinales","REDGRP",0,0,0,0,0,0
"BASHAR",2013,"Ascophyllum","A. nodosum (knotted wrack)","Ascophyllum nodosum","ASCNOD",65,63,53,85,56,68
"BASHAR",2013,"Ascophyllum","Mussel","Mytilus edulis","MUSSPP",0,0,0,0,0,0
"BASHAR",2013,"Ascophyllum","Red algae group","Rhodophyta","REDGRP",0,0,0,0,0,0
"BASHAR",2013,"Ascophyllum","Fucus spp. (Rockweed)","Fucus","FUCSPP",14.4,18,2,20,12,20
"BASHAR",2013,"Barnacle","A. nodosum (knotted wrack)","Vertebrata lanosa/Elachista fucicola","ASCNOD",0,0,0,0,0,0
"BASHAR",2013,"Barnacle","Barnacle","Semibalanus balanoides","BARSPP",88.2,89,81,95,86,90
"BASHAR",2013,"Barnacle","Crustose non-coralline","Calothrix","NONCOR",0,0,0,0,0,0
"BASHAR",2013,"Barnacle","Fucus spp. (Rockweed)","Elachista fucicola","FUCSPP",0,0,0,0,0,0
"BASHAR",2013,"Barnacle","Red algae group","Gigartinales","REDGRP",0,0,0,0,0,0
"BASHAR",2013,"Barnacle","A. nodosum (knotted wrack)","Ascophyllum nodosum","ASCNOD",0,0,0,0,0,0
"BASHAR",2013,"Barnacle","Mussel","Mytilus edulis","MUSSPP",0,0,0,0,0,0
