"SiteCode","Year","QAQC","CommunityType","CoverType","CoverCode","avg_cover","med_cover","se_cover"
"SHIHAR",2013,FALSE,"Ascophyllum","Barnacle","BARSPP",0.2,0,0.2
"SHIHAR",2013,FALSE,"Ascophyllum","Fucus spp. (Rockweed)","FUCSPP",7.4,4,4.46766158073774
"SHIHAR",2013,FALSE,"Ascophyllum","A. nodosum (knotted wrack)","ASCNOD",81.4,87,5.63560112144215
"SHIHAR",2014,FALSE,"Ascophyllum","Barnacle","BARSPP",0.8,0,0.58309518948453
"SHIHAR",2014,FALSE,"Ascophyllum","Crustose non-coralline","NONCOR",0.2,0,0.2
"SHIHAR",2014,FALSE,"Ascophyllum","Fucus spp. (Rockweed)","FUCSPP",5.2,5,2.47790233867277
"SHIHAR",2014,FALSE,"Ascophyllum","A. nodosum (knotted wrack)","ASCNOD",72.2,78,7.98373346248483
"SHIHAR",2015,FALSE,"Ascophyllum","A. nodosum (knotted wrack)","ASCNOD",90,94,4.27784992724149
"SHIHAR",2015,FALSE,"Ascophyllum","Barnacle","BARSPP",0.2,0,0.2
"SHIHAR",2015,FALSE,"Ascophyllum","Crustose non-coralline","NONCOR",0.2,0,0.2
"SHIHAR",2015,FALSE,"Ascophyllum","Fucus spp. (Rockweed)","FUCSPP",0.6,0,0.4
"SHIHAR",2016,FALSE,"Ascophyllum","Red algae group","REDGRP",0.8,0,0.58309518948453
"SHIHAR",2016,FALSE,"Ascophyllum","A. nodosum (knotted wrack)","ASCNOD",84.6,88,6.11228271597445
"SHIHAR",2016,FALSE,"Ascophyllum","Fucus spp. (Rockweed)","FUCSPP",7.8,2,5.69561234635926
"SHIHAR",2017,FALSE,"Ascophyllum","A. nodosum (knotted wrack)","ASCNOD",77.8,85,10.175460677532
"SHIHAR",2017,FALSE,"Ascophyllum","Fucus spp. (Rockweed)","FUCSPP",10.2,0,8.13879597975032
"SHIHAR",2018,FALSE,"Ascophyllum","Barnacle","BARSPP",0.4,0,0.4
"SHIHAR",2018,FALSE,"Ascophyllum","Fucus spp. (Rockweed)","FUCSPP",8.6,0,8.6
"SHIHAR",2018,FALSE,"Ascophyllum","A. nodosum (knotted wrack)","ASCNOD",84,92,7.39594483484024
"SHIHAR",2018,FALSE,"Ascophyllum","Crustose non-coralline","NONCOR",0.6,0,0.6
"SHIHAR",2019,FALSE,"Ascophyllum","Fucus spp. (Rockweed)","FUCSPP",9.6,1,9.10274683818022
"SHIHAR",2019,FALSE,"Ascophyllum","A. nodosum (knotted wrack)","ASCNOD",85.8,96,9.57810002035894
"SHIHAR",2021,FALSE,"Ascophyllum","Fucus spp. (Rockweed)","FUCSPP",11.8,2,9.80510071340422
"SHIHAR",2021,FALSE,"Ascophyllum","A. nodosum (knotted wrack)","ASCNOD",86,95,9.78774744259372
"SHIHAR",2021,FALSE,"Ascophyllum","Crustose non-coralline","NONCOR",0.2,0,0.2
"SHIHAR",2021,FALSE,"Ascophyllum","Barnacle","BARSPP",0.4,0,0.4
"SHIHAR",2022,FALSE,"Ascophyllum","A. nodosum (knotted wrack)","ASCNOD",82.4,88,6.94694177318336
"SHIHAR",2022,FALSE,"Ascophyllum","Barnacle","BARSPP",0.2,0,0.2
"SHIHAR",2022,FALSE,"Ascophyllum","Crustose non-coralline","NONCOR",0.2,0,0.2
"SHIHAR",2022,FALSE,"Ascophyllum","Fucus spp. (Rockweed)","FUCSPP",8.2,1,7.45922247958861
"SHIHAR",2023,FALSE,"Ascophyllum","Red algae group","REDGRP",0.5,0,0.5
"SHIHAR",2023,FALSE,"Ascophyllum","A. nodosum (knotted wrack)","ASCNOD",76.75,72.5,7.1224410609472
"SHIHAR",2023,FALSE,"Ascophyllum","Barnacle","BARSPP",6.75,5.5,3.63719214046587
"SHIHAR",2023,FALSE,"Ascophyllum","Crustose non-coralline","NONCOR",1.5,1,0.957427107756338
"SHIHAR",2023,FALSE,"Ascophyllum","Fucus spp. (Rockweed)","FUCSPP",7.5,1,6.83739716558867
"SHIHAR",2024,FALSE,"Ascophyllum","A. nodosum (knotted wrack)","ASCNOD",76.6,89,10.1271911209377
"SHIHAR",2024,FALSE,"Ascophyllum","Barnacle","BARSPP",0.2,0,0.2
"SHIHAR",2024,FALSE,"Ascophyllum","Crustose non-coralline","NONCOR",0.2,0,0.2
"SHIHAR",2024,FALSE,"Ascophyllum","Fucus spp. (Rockweed)","FUCSPP",18,2,10.4737767782209
"SHIHAR",2013,FALSE,"Barnacle","Barnacle","BARSPP",86.4,84,1.98997487421324
"SHIHAR",2013,FALSE,"Barnacle","Fucus spp. (Rockweed)","FUCSPP",0.6,0,0.6
"SHIHAR",2014,FALSE,"Barnacle","Barnacle","BARSPP",75.4,80,7.42024258363566
"SHIHAR",2014,FALSE,"Barnacle","Fucus spp. (Rockweed)","FUCSPP",13,10,8.09938269252664
"SHIHAR",2015,FALSE,"Barnacle","Barnacle","BARSPP",33,9,17.6663521984591
"SHIHAR",2015,FALSE,"Barnacle","Fucus spp. (Rockweed)","FUCSPP",61.4,88,19.4025771484099
"SHIHAR",2016,FALSE,"Barnacle","Fucus spp. (Rockweed)","FUCSPP",53.4,55,13.3588921696374
"SHIHAR",2016,FALSE,"Barnacle","Barnacle","BARSPP",36.6,42,10.4909484795227
"SHIHAR",2016,FALSE,"Barnacle","Crustose non-coralline","NONCOR",1.4,0,1.16619037896906
"SHIHAR",2017,FALSE,"Barnacle","Barnacle","BARSPP",10.4,4,5.16333225737023
"SHIHAR",2017,FALSE,"Barnacle","Fucus spp. (Rockweed)","FUCSPP",84.4,87,5.77581163127746
"SHIHAR",2017,FALSE,"Barnacle","Crustose non-coralline","NONCOR",1.4,1,0.748331477354788
"SHIHAR",2018,FALSE,"Barnacle","Fucus spp. (Rockweed)","FUCSPP",78.8,83,4.46542271235322
"SHIHAR",2018,FALSE,"Barnacle","Crustose non-coralline","NONCOR",2.4,1,1.24899959967968
"SHIHAR",2018,FALSE,"Barnacle","Barnacle","BARSPP",13.8,14,3.12089730686545
"SHIHAR",2019,FALSE,"Barnacle","Barnacle","BARSPP",12,8,5.30094331227943
"SHIHAR",2019,FALSE,"Barnacle","Crustose non-coralline","NONCOR",3.6,4,1.36381816969859
"SHIHAR",2019,FALSE,"Barnacle","Fucus spp. (Rockweed)","FUCSPP",77.4,86,10.2352332655392
"SHIHAR",2021,FALSE,"Barnacle","Fucus spp. (Rockweed)","FUCSPP",95.6,95,1.50332963783729
"SHIHAR",2021,FALSE,"Barnacle","Barnacle","BARSPP",1.8,1,0.734846922834953
"SHIHAR",2021,FALSE,"Barnacle","Crustose non-coralline","NONCOR",1,0,0.632455532033676
"SHIHAR",2022,FALSE,"Barnacle","A. nodosum (knotted wrack)","ASCNOD",1,1,0.547722557505166
"SHIHAR",2022,FALSE,"Barnacle","Barnacle","BARSPP",5,3,2.82842712474619
"SHIHAR",2022,FALSE,"Barnacle","Red algae group","REDGRP",0.2,0,0.2
"SHIHAR",2022,FALSE,"Barnacle","Fucus spp. (Rockweed)","FUCSPP",78.8,84,3.67967389859482
"SHIHAR",2022,FALSE,"Barnacle","Crustose non-coralline","NONCOR",2.4,2,1.28840987267251
"SHIHAR",2023,FALSE,"Barnacle","Crustose non-coralline","NONCOR",2.4,2,0.244948974278318
"SHIHAR",2023,FALSE,"Barnacle","Red algae group","REDGRP",0.6,0,0.4
"SHIHAR",2023,FALSE,"Barnacle","Fucus spp. (Rockweed)","FUCSPP",78.6,86,10.0329457289472
"SHIHAR",2023,FALSE,"Barnacle","Barnacle","BARSPP",4.2,5,1.15758369027902
"SHIHAR",2024,FALSE,"Barnacle","Barnacle","BARSPP",0.8,0,0.58309518948453
"SHIHAR",2024,FALSE,"Barnacle","Fucus spp. (Rockweed)","FUCSPP",94.6,94,1.32664991614216
"SHIHAR",2024,FALSE,"Barnacle","Crustose non-coralline","NONCOR",0.2,0,0.2
"SHIHAR",2013,FALSE,"Fucus","Red algae group","REDGRP",0.4,0,0.4
"SHIHAR",2013,FALSE,"Fucus","Fucus spp. (Rockweed)","FUCSPP",91,91,2.12132034355964
"SHIHAR",2013,FALSE,"Fucus","Barnacle","BARSPP",0.8,0,0.58309518948453
"SHIHAR",2014,FALSE,"Fucus","Red algae group","REDGRP",0.2,0,0.2
"SHIHAR",2014,FALSE,"Fucus","Barnacle","BARSPP",2.2,2,1.113552872566
"SHIHAR",2014,FALSE,"Fucus","Fucus spp. (Rockweed)","FUCSPP",85.6,85,1.96468827043885
"SHIHAR",2014,FALSE,"Fucus","Crustose non-coralline","NONCOR",1.8,1,0.860232526704263
"SHIHAR",2015,FALSE,"Fucus","Fucus spp. (Rockweed)","FUCSPP",98.6,100,0.871779788708135
"SHIHAR",2015,FALSE,"Fucus","Barnacle","BARSPP",1,0,0.632455532033676
"SHIHAR",2016,FALSE,"Fucus","Fucus spp. (Rockweed)","FUCSPP",99.6,100,0.4
"SHIHAR",2017,FALSE,"Fucus","Red algae group","REDGRP",0.2,0,0.2
"SHIHAR",2017,FALSE,"Fucus","Barnacle","BARSPP",0.4,0,0.244948974278318
"SHIHAR",2017,FALSE,"Fucus","Fucus spp. (Rockweed)","FUCSPP",88.8,90,2.6343879744639
"SHIHAR",2017,FALSE,"Fucus","Crustose non-coralline","NONCOR",1,1,0.547722557505166
"SHIHAR",2018,FALSE,"Fucus","Crustose non-coralline","NONCOR",1.8,1,0.916515138991168
"SHIHAR",2018,FALSE,"Fucus","Barnacle","BARSPP",0.2,0,0.2
"SHIHAR",2018,FALSE,"Fucus","Fucus spp. (Rockweed)","FUCSPP",92.4,95,3.09192496674806
"SHIHAR",2019,FALSE,"Fucus","Fucus spp. (Rockweed)","FUCSPP",94.2,96,1.77200451466693
"SHIHAR",2019,FALSE,"Fucus","Barnacle","BARSPP",0.4,0,0.4
"SHIHAR",2019,FALSE,"Fucus","A. nodosum (knotted wrack)","ASCNOD",0.4,0,0.244948974278318
"SHIHAR",2019,FALSE,"Fucus","Crustose non-coralline","NONCOR",1,1,0.447213595499958
"SHIHAR",2019,FALSE,"Fucus","Red algae group","REDGRP",0.4,0,0.4
"SHIHAR",2021,FALSE,"Fucus","Crustose non-coralline","NONCOR",0.4,0,0.244948974278318
"SHIHAR",2021,FALSE,"Fucus","Barnacle","BARSPP",0.8,0,0.58309518948453
"SHIHAR",2021,FALSE,"Fucus","Red algae group","REDGRP",0.8,0,0.58309518948453
"SHIHAR",2021,FALSE,"Fucus","Fucus spp. (Rockweed)","FUCSPP",93.6,93,1.80554700852678
"SHIHAR",2021,FALSE,"Fucus","A. nodosum (knotted wrack)","ASCNOD",0.8,1,0.374165738677394
"SHIHAR",2022,FALSE,"Fucus","Crustose non-coralline","NONCOR",0.8,1,0.374165738677394
"SHIHAR",2022,FALSE,"Fucus","Barnacle","BARSPP",2.6,2,1.0770329614269
"SHIHAR",2022,FALSE,"Fucus","Red algae group","REDGRP",3.2,1,1.59373774505092
"SHIHAR",2022,FALSE,"Fucus","Fucus spp. (Rockweed)","FUCSPP",70.6,71,1.72046505340853
"SHIHAR",2023,FALSE,"Fucus","Crustose non-coralline","NONCOR",2,2,0.632455532033676
"SHIHAR",2023,FALSE,"Fucus","Red algae group","REDGRP",0.8,1,0.374165738677394
"SHIHAR",2023,FALSE,"Fucus","Barnacle","BARSPP",1,0,0.774596669241483
"SHIHAR",2023,FALSE,"Fucus","Fucus spp. (Rockweed)","FUCSPP",87.6,88,1.20830459735946
"SHIHAR",2024,FALSE,"Fucus","Red algae group","REDGRP",0.8,1,0.374165738677394
"SHIHAR",2024,FALSE,"Fucus","Crustose non-coralline","NONCOR",0.8,1,0.2
"SHIHAR",2024,FALSE,"Fucus","Barnacle","BARSPP",0.6,0,0.4
"SHIHAR",2024,FALSE,"Fucus","Fucus spp. (Rockweed)","FUCSPP",87,88,1.87082869338697
"SHIHAR",2013,FALSE,"Red Algae","Red algae group","REDGRP",73.4,72,5.30659966456864
"SHIHAR",2013,FALSE,"Red Algae","Fucus spp. (Rockweed)","FUCSPP",0.4,0,0.4
"SHIHAR",2014,FALSE,"Red Algae","Red algae group","REDGRP",73.4,79,5.14392845984467
"SHIHAR",2014,FALSE,"Red Algae","Fucus spp. (Rockweed)","FUCSPP",1,0,1
"SHIHAR",2015,FALSE,"Red Algae","Red algae group","REDGRP",64.4,62,3.70944739819828
"SHIHAR",2015,FALSE,"Red Algae","Fucus spp. (Rockweed)","FUCSPP",5.2,0,3.55527776692624
"SHIHAR",2016,FALSE,"Red Algae","Red algae group","REDGRP",76,79,4.81663783151692
"SHIHAR",2016,FALSE,"Red Algae","Fucus spp. (Rockweed)","FUCSPP",4.4,3,2.20454076850486
"SHIHAR",2017,FALSE,"Red Algae","Red algae group","REDGRP",38.6,37,4.80208288141719
"SHIHAR",2017,FALSE,"Red Algae","Fucus spp. (Rockweed)","FUCSPP",4,1,3.50713558335004
"SHIHAR",2018,FALSE,"Red Algae","Crustose non-coralline","NONCOR",0.6,0,0.6
"SHIHAR",2018,FALSE,"Red Algae","Red algae group","REDGRP",48.2,48,11.689311356962
"SHIHAR",2018,FALSE,"Red Algae","Fucus spp. (Rockweed)","FUCSPP",23.2,7,14.3122325302519
"SHIHAR",2019,FALSE,"Red Algae","Red algae group","REDGRP",60.4,64,4.41134900002256
"SHIHAR",2019,FALSE,"Red Algae","Crustose non-coralline","NONCOR",0.4,0,0.4
"SHIHAR",2019,FALSE,"Red Algae","A. nodosum (knotted wrack)","ASCNOD",0.2,0,0.2
"SHIHAR",2019,FALSE,"Red Algae","Fucus spp. (Rockweed)","FUCSPP",14.2,5,6.77790528113222
"SHIHAR",2021,FALSE,"Red Algae","Red algae group","REDGRP",62.2,57,9.18368117913509
"SHIHAR",2021,FALSE,"Red Algae","Fucus spp. (Rockweed)","FUCSPP",9.2,0,7.36478105580879
"SHIHAR",2022,FALSE,"Red Algae","Red algae group","REDGRP",53.8,58,7.85748051222528
"SHIHAR",2022,FALSE,"Red Algae","Fucus spp. (Rockweed)","FUCSPP",0.2,0,0.2
"SHIHAR",2023,FALSE,"Red Algae","Fucus spp. (Rockweed)","FUCSPP",12.2,0,9.11262859991561
"SHIHAR",2023,FALSE,"Red Algae","Crustose non-coralline","NONCOR",0.8,0,0.8
"SHIHAR",2023,FALSE,"Red Algae","Red algae group","REDGRP",44.2,37,6.7483331275212
"SHIHAR",2024,FALSE,"Red Algae","Red algae group","REDGRP",55.2,59,7.01712191713953
"SHIHAR",2024,FALSE,"Red Algae","Fucus spp. (Rockweed)","FUCSPP",8.8,2,4.67332857821917
